Degree,Count,TotalNodes,Prob
0,0,7262,0.0
1,2022,7262,0.2784356926466538
2,1160,7262,0.15973561002478656
3,694,7262,0.09556595979069127
4,497,7262,0.06843844670889562
5,385,7262,0.0530156981547783
6,301,7262,0.0414486367391903
7,242,7262,0.033324153125860644
8,209,7262,0.02877995042687965
9,154,7262,0.02120627926191132
10,144,7262,0.019829248141007987
11,112,7262,0.015422748554117323
12,112,7262,0.015422748554117323
13,94,7262,0.012944092536491324
14,88,7262,0.012117873863949325
15,90,7262,0.012393280088129992
16,66,7262,0.009088405397961994
17,60,7262,0.008262186725419994
18,66,7262,0.009088405397961994
19,56,7262,0.007711374277058662
20,42,7262,0.005783530707793996
21,41,7262,0.005645827595703663
22,47,7262,0.006472046268245662
23,32,7262,0.004406499586890664
24,35,7262,0.004819608923161664
25,40,7262,0.00550812448361333
26,31,7262,0.00426879647480033
27,30,7262,0.004131093362709997
28,24,7262,0.0033048746901679976
29,25,7262,0.003442577802258331
30,19,7262,0.0026163591297163314
31,22,7262,0.003029468465987331
32,16,7262,0.002203249793445332
33,12,7262,0.0016524373450839988
34,22,7262,0.003029468465987331
35,21,7262,0.002891765353896998
36,13,7262,0.0017901404571743322
37,11,7262,0.0015147342329936656
38,12,7262,0.0016524373450839988
39,8,7262,0.001101624896722666
40,21,7262,0.002891765353896998
41,15,7262,0.0020655466813549986
42,7,7262,9.639217846323327E-4
43,10,7262,0.0013770311209033324
44,6,7262,8.262186725419994E-4
45,6,7262,8.262186725419994E-4
46,9,7262,0.0012393280088129992
47,6,7262,8.262186725419994E-4
48,3,7262,4.131093362709997E-4
49,4,7262,5.50812448361333E-4
50,8,7262,0.001101624896722666
51,3,7262,4.131093362709997E-4
52,4,7262,5.50812448361333E-4
53,7,7262,9.639217846323327E-4
54,3,7262,4.131093362709997E-4
55,8,7262,0.001101624896722666
56,5,7262,6.885155604516662E-4
57,2,7262,2.754062241806665E-4
58,4,7262,5.50812448361333E-4
59,5,7262,6.885155604516662E-4
60,5,7262,6.885155604516662E-4
61,1,7262,1.3770311209033325E-4
62,2,7262,2.754062241806665E-4
63,2,7262,2.754062241806665E-4
64,3,7262,4.131093362709997E-4
65,4,7262,5.50812448361333E-4
66,5,7262,6.885155604516662E-4
67,4,7262,5.50812448361333E-4
68,1,7262,1.3770311209033325E-4
69,2,7262,2.754062241806665E-4
70,1,7262,1.3770311209033325E-4
71,1,7262,1.3770311209033325E-4
72,1,7262,1.3770311209033325E-4
73,1,7262,1.3770311209033325E-4
74,2,7262,2.754062241806665E-4
75,0,7262,0.0
76,1,7262,1.3770311209033325E-4
77,1,7262,1.3770311209033325E-4
78,4,7262,5.50812448361333E-4
